"marker"	"OBO.Ontology.ID"	"species"	"times"	"cell_ID"	"gene_description"	"original_celltype.MSigDB"	"original_celltype.PanglaoDB"	"original_celltype.CellMarker"	"original_celltype.GeneMarkeR"	"original_celltype.Azimuth"	"original_celltype.ASCTB"
"MYL12A"	"natural killer cell"	"Human"	1	"CL:0000623"	"myosin light chain 12A "	"NK CELLS"	NA	NA	NA	NA	NA
"MYL12B"	"natural killer cell"	"Human"	1	"CL:0000623"	"myosin light chain 12B "	"NK CELLS"	NA	NA	NA	NA	NA
"MYL2"	"plasma cell"	"Human"	1	"CL:0000786"	"myosin light chain 2 "	"PLASMA CELL"	NA	NA	NA	NA	NA
"MYL4"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"myosin light chain 4 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"MYL6"	"monocyte"	"Human"	1	"CL:0000576"	"myosin light chain 6 "	"MONOCYTE"	NA	NA	NA	NA	NA
"MYL6B"	"pro-B cell"	"Human"	1	"CL:0000826"	"myosin light chain 6B "	"PRO B"	NA	NA	NA	NA	NA
"MYL9"	"platelet"	"Human"	2	"CL:0000233"	"myosin light chain 9 "	"PLATELET"	"Platelets"	NA	NA	NA	NA
"MYLK"	"megakaryocyte progenitor cell"	"Human"	1	"CL:0000553"	"myosin light chain kinase "	"PUTATIVE MEGAKARYOCYTE PROGENITOR"	NA	NA	NA	NA	NA
"MYLK"	"neutrophil"	"Human"	1	"CL:0000775"	"myosin light chain kinase "	NA	"Neutrophils"	NA	NA	NA	NA
"MYLK"	"platelet"	"Human"	1	"CL:0000233"	"myosin light chain kinase "	"PLATELET"	NA	NA	NA	NA	NA
"MYO1C"	"precursor B cell"	"Human"	1	"CL:0000817"	"myosin IC "	"CD34 POS PRE B"	NA	NA	NA	NA	NA
"MYO1E"	"dendritic cell, human"	"Human"	1	"CL:0001056"	"myosin IE "	NA	NA	"AXL+SIGLEC6+ dendritic cell"	NA	NA	NA
"MYO1F"	"natural killer cell"	"Human"	1	"CL:0000623"	"myosin IF "	"NK CELLS"	NA	NA	NA	NA	NA
"MYO1G"	"dendritic cell, human"	"Human"	1	"CL:0001056"	"myosin IG "	NA	NA	"CD1C-CD141- dendritic cell"	NA	NA	NA
"MYO1G"	"macrophage"	"Human"	2	"CL:0000235"	"myosin IG "	NA	"Macrophages"	NA	"macrophage"	NA	NA
"MYO1G"	"monocyte"	"Human"	1	"CL:0000576"	"myosin IG "	"MONOCYTE"	NA	NA	NA	NA	NA
"MYO3A"	"pro-B cell"	"Human"	1	"CL:0000826"	"myosin IIIA "	"PRO B"	NA	NA	NA	NA	NA
"MYO5C"	"plasmacytoid dendritic cell"	"Human"	1	"CL:0000784"	"myosin VC "	"CD34 POS PRE PC"	NA	NA	NA	NA	NA
